2023-11-25 06:36:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:38:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:40:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:42:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:44:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:46:38: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:48:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:50:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:52:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:54:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:56:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 06:58:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 07:00:39: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
2023-11-25 07:02:40: Undefined packet, CMD=CMD_SYNC_TIME_BY_CLIENT, Client=116.98.50.205:57708 
